zip,source,json,mode,document_id,serie
z09002198340002605380e4a__05e1989c183347ae.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z09002198340002605380e4a__05e1989c183347ae\ad09002198340002605380e4a.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79758519.json,XML,DEFL79758519,DEFL
z09002198340002605381f32__2d26100c12b12b15.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z09002198340002605381f32__2d26100c12b12b15\ad09002198340002605381f32.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79762689.json,XML,DEFL79762689,DEFL
z09002198340002605385402__b54e3e160818b391.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z09002198340002605385402__b54e3e160818b391\ad09002198340002605385402.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79776217.json,XML,DEFL79776217,DEFL
z0900219834000260538757f__d11e06617948fe05.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z0900219834000260538757f__d11e06617948fe05\ad0900219834000260538757f.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79784598.json,XML,DEFL79784598,DEFL
z0900219834000260538946c__1ae4702b68cd9717.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z0900219834000260538946c__1ae4702b68cd9717\ad0900219834000260538946c.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79793093.json,XML,DEFL79793093,DEFL
z09002198340002605389b0b__be08bf0307ad1530.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z09002198340002605389b0b__be08bf0307ad1530\ad09002198340002605389b0b.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79793367.json,XML,DEFL79793367,DEFL
z0900219834000260538a29a__9f1f6c2a82f419dd.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z0900219834000260538a29a__9f1f6c2a82f419dd\ad0900219834000260538a29a.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79795621.json,XML,DEFL79795621,DEFL
z0900219834000260538fcf0__dc9e5a4458e565fc.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z0900219834000260538fcf0__dc9e5a4458e565fc\ad0900219834000260538fcf0.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79819561.json,XML,DEFL79819561,DEFL
z09002198340002605390102__5f9171acaa1d7560.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z09002198340002605390102__5f9171acaa1d7560\ad09002198340002605390102.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79820316.json,XML,DEFL79820316,DEFL
z0900219834000260539061d__3924977c201e5003.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z0900219834000260539061d__3924977c201e5003\ad0900219834000260539061d.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79821076.json,XML,DEFL79821076,DEFL
z0900219834000260539127a__2f603bff1522c767.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z0900219834000260539127a__2f603bff1522c767\ad0900219834000260539127a.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79824276.json,XML,DEFL79824276,DEFL
z09002198340002605392cb4__38bed6bfa0ce15fa.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z09002198340002605392cb4__38bed6bfa0ce15fa\ad09002198340002605392cb4.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79830753.json,XML,DEFL79830753,DEFL
z09002198340002605393e3c__000ad3c1dcea8695.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z09002198340002605393e3c__000ad3c1dcea8695\ad09002198340002605393e3c.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79835456.json,XML,DEFL79835456,DEFL
z0900219834000260539455b__2761a873037f6656.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z0900219834000260539455b__2761a873037f6656\ad0900219834000260539455b.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79837080.json,XML,DEFL79837080,DEFL
z09002198340002605394c91__447d279a43b1d63f.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z09002198340002605394c91__447d279a43b1d63f\ad09002198340002605394c91.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79838940.json,XML,DEFL79838940,DEFL
z090021983400026053950c9__fc7043554f653760.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z090021983400026053950c9__fc7043554f653760\ad090021983400026053950c9.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79840023.json,XML,DEFL79840023,DEFL
z090021983400026053a30f6__49027035b94dd0de.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z090021983400026053a30f6__49027035b94dd0de\ad090021983400026053a30f6.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79897398.json,XML,DEFL79897398,DEFL
z090021983400026053a31ff__b016dabdb33eddfc.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z090021983400026053a31ff__b016dabdb33eddfc\ad090021983400026053a31ff.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79897443.json,XML,DEFL79897443,DEFL
